,Document,Paragraph
0,(U) PROXY DATA WORD FORMAT vAB2,     Proxy Assessment Report 23-1
1,(U) PROXY DATA WORD FORMAT vAB2,
2,(U) PROXY DATA WORD FORMAT vAB2,Controlled by: TEXT2
3,(U) PROXY DATA WORD FORMAT vAB2,Controlled by: TEXT3
4,(U) PROXY DATA WORD FORMAT vAB2,CUI Categories: TEXT4
5,(U) PROXY DATA WORD FORMAT vAB2,Distribution/Dissemination Control: TEXT5
6,(U) PROXY DATA WORD FORMAT vAB2,POC: TEXT6
7,(U) PROXY DATA WORD FORMAT vAB2,
8,(U) PROXY DATA WORD FORMAT vAB2,"This Assessment Report contains three information main blocks, with subtopics added by individuals as required.  Subtopics are divided into three sections."
9,(U) PROXY DATA WORD FORMAT vAB2,
10,(U) PROXY DATA WORD FORMAT vAB2,
11,(U) PROXY DATA WORD FORMAT vAB2,BLOCK 1
12,(U) PROXY DATA WORD FORMAT vAB2,
13,(U) PROXY DATA WORD FORMAT vAB2,01. Topic: FIRST SUB TOPIC.  NUMBERING MAY BE INCONSITENT.  
14,(U) PROXY DATA WORD FORMAT vAB2,
15,(U) PROXY DATA WORD FORMAT vAB2,Discussion:  The numbering of the subtopics from 01 and on may be inconsistent because they are added by individuals and then emailed to a central person for aggregation.    
16,(U) PROXY DATA WORD FORMAT vAB2,
17,(U) PROXY DATA WORD FORMAT vAB2,"Recommendation: The Assessment Report should be sent as SharePoint link for work by multiple individuals.  The assessment report, while text dense, should offer a filterable table of the Sub topics, Discussions, Recommendation, and Results."
18,(U) PROXY DATA WORD FORMAT vAB2,
19,(U) PROXY DATA WORD FORMAT vAB2,Result: Immediate
20,(U) PROXY DATA WORD FORMAT vAB2,
21,(U) PROXY DATA WORD FORMAT vAB2,02. Topic: SECOND SUB TOPIC. BURIED INFORMATION. 
22,(U) PROXY DATA WORD FORMAT vAB2, 
23,(U) PROXY DATA WORD FORMAT vAB2,"Discussion: Information entered into Word or PowerPoint is extremely difficult to extract.  Structured data, like that found in Excel tables, is much easier to Extract, Transform, and Load (ETL).  ETL is necessary to use advanced tools like Data Modeling, Pivot Tables, and Slicers.     "
24,(U) PROXY DATA WORD FORMAT vAB2,
25,(U) PROXY DATA WORD FORMAT vAB2,"Recommendation:  To the maximum extent possible, information should be entered in Excel in structured table format."
26,(U) PROXY DATA WORD FORMAT vAB2,
27,(U) PROXY DATA WORD FORMAT vAB2,Result: Immediate
28,(U) PROXY DATA WORD FORMAT vAB2,
29,(U) PROXY DATA WORD FORMAT vAB2,BLOCK 2
30,(U) PROXY DATA WORD FORMAT vAB2,
31,(U) PROXY DATA WORD FORMAT vAB2,04. Topic:  TRAINING
32,(U) PROXY DATA WORD FORMAT vAB2,
33,(U) PROXY DATA WORD FORMAT vAB2,"Discussion:  In general, computer skills are weak or outdated.  "
34,(U) PROXY DATA WORD FORMAT vAB2,
35,(U) PROXY DATA WORD FORMAT vAB2,Recommendation:  Demonstrate the advantages of advanced software tools like Excel Power Query and Power Pivot to general users.    
36,(U) PROXY DATA WORD FORMAT vAB2,
37,(U) PROXY DATA WORD FORMAT vAB2,Result: Immediate
38,(U) PROXY DATA WORD FORMAT vAB2,
39,(U) PROXY DATA WORD FORMAT vAB2,BLOCK 3
40,(U) PROXY DATA WORD FORMAT vAB2,
